Organism_Name,Group name,Domain/Realm name,Kingdom name,Phylum name,Class name,Order name,Family name,Genus name,Species taxid,acc,query,tar_tco,full_e_tco,full_score_tco,full_bias_tco,dom_e_tco,dom_score_tco,dom_bias_tco,tar_RAPTOR,full_e_RAPTOR,full_score_RAPTOR,full_bias_RAPTOR,dom_e_RAPTOR,dom_score_RAPTOR,dom_bias_RAPTOR,ProteinPresence
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788405.1,PTHR12848.orig.30.pir,KAI1563354.1,6.8e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1580294.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788415.1,PTHR12848.orig.30.pir,KAI1527803.1,6.8e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1550741.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788425.1,PTHR12848.orig.30.pir,KAI1537315.1,6.9e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1558879.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788435.1,PTHR12848.orig.30.pir,KAI1565958.1,6.8e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1589314.1,0,1503,0,0,1502.6,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788445.1,PTHR12848.orig.30.pir,KAI1528755.1,6.8e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1551930.1,0,1503,0,0,1502.6,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788505.1,PTHR12848.orig.30.pir,KAI1582374.1,6.9e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1601485.1,0,1503,0,0,1502.6,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022788515.1,PTHR12848.orig.30.pir,KAI1596746.1,6.8e-9,34.9,13.1,1.1e-5,24.3,0.3,KAI1606635.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022813025.1,PTHR12848.orig.30.pir,KAI1677488.1,4.4e-8,32.4,2.7,4.4e-8,32.4,2.7,KAI1679652.1,0,1503,0,0,1502.6,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022813065.1,PTHR12848.orig.30.pir,KAI1665677.1,3.9e-8,32.4,2.7,3.9e-8,32.4,2.7,KAI1667453.1,0,1503,0,0,1502.6,0,TCO and RAPTOR
Pyrenophora tritici-repentis,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,45151,GCA_022837075.1,PTHR12848.orig.30.pir,KAI2477517.1,4e-8,32.6,2.5,4e-8,32.6,2.5,KAI2477831.1,0,1503.1,0,0,1502.7,0,TCO and RAPTOR
Hypoxylon sp. NC1633,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Hypoxylon,2663366,GCA_022984935.1,PTHR12848.orig.30.pir,KAI2608014.1,2.2e-9,36.4,14.2,1.7e-5,23.6,0,KAI2615372.1,0,1493.1,0.1,0,1493.1,0.1,TCO and RAPTOR
Ustulina deusta,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Ustulina,110526,GCA_023159155.1,PTHR12848.orig.30.pir,KAI3330198.1,7e-8,31.6,16.9,1.5e-7,30.5,2,KAI3340906.1,0,1497.3,1.8,0,1496.8,1.8,TCO and RAPTOR
Xylariaceae sp. AK1471,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,2723393,GCA_023159215.1,PTHR12848.orig.30.pir,KAI3321377.1,3.3e-10,39.5,0.6,3.3e-10,39.5,0.6,KAI3327065.1,0,1488.8,1.8,0,1488.4,1.8,TCO and RAPTOR
Candida oxycetoniae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,497107,GCA_023343755.2,PTHR12848.orig.30.pir,KAI3406371.2,2.2e-13,48.4,23.6,8.1e-9,33.3,15.5,KAI3406420.2,0,1378.1,5.4,0,1377.5,5.4,TCO and RAPTOR
Colletotrichum higginsianum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,80884,GCA_023705605.1,PTHR12848.orig.30.pir,GJD00954.1,1.7e-8,33.8,1.2,4.6e-4,19.2,0.1,GJC97277.1,0,1493.4,0.4,0,1492.9,0.4,TCO and RAPTOR
Alternaria ethzedia,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,181014,GCA_023757985.1,PTHR12848.orig.30.pir,KAI4614198.1,4.9e-8,31.9,1.8,4.9e-8,31.9,1.8,KAI4620585.1,0,1510.9,2.1,0,1510.4,2.1,TCO and RAPTOR
Alternaria metachromatica,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,283354,GCA_023757995.1,PTHR12848.orig.30.pir,KAI4605789.1,2.6e-8,32.8,2.3,2.6e-8,32.8,2.3,KAI4637479.1,0,1509.8,1.4,0,1509.4,1.4,TCO and RAPTOR
Alternaria sp. BMP 0032,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,2817042,GCA_023758005.1,PTHR12848.orig.30.pir,KAI4606854.1,2.7e-8,32.8,2.1,2.7e-8,32.8,2.1,KAI4611526.1,0,1510.1,1.4,0,1509.6,1.4,TCO and RAPTOR
Alternaria viburni,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,566460,GCA_023758015.1,PTHR12848.orig.30.pir,KAI4641826.1,2.9e-8,32.8,2.1,2.9e-8,32.8,2.1,KAI4670030.1,0,1510.2,1.5,0,1509.7,1.5,TCO and RAPTOR
Alternaria triticimaculans,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,297637,GCA_023758025.1,PTHR12848.orig.30.pir,KAI4639572.1,2.8e-8,32.7,2.1,2.8e-8,32.7,2.1,KAI4652779.1,0,1509.9,1.3,0,1509.5,1.3,TCO and RAPTOR
Alternaria ventricosa,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187951,GCA_023758065.1,PTHR12848.orig.30.pir,KAI4638636.1,2.4e-8,32.9,1.6,2.4e-8,32.9,1.6,KAI4653907.1,0,1510.2,1.5,0,1509.7,1.5,TCO and RAPTOR
Alternaria novae-zelandiae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,430562,GCA_023758075.1,PTHR12848.orig.30.pir,KAI4669641.1,2.6e-8,32.8,2.1,2.6e-8,32.8,2.1,KAI4675505.1,0,1510.4,1.5,0,1510,1.5,TCO and RAPTOR
Alternaria hordeiaustralica,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187925,GCA_023758085.1,PTHR12848.orig.30.pir,KAI4676969.1,2.6e-8,32.8,2.1,2.6e-8,32.8,2.1,KAI4676171.1,0,1501.7,1.2,0,1501.3,1.2,TCO and RAPTOR
Alternaria sp. Ai002NY15,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,2817039,GCA_023758125.1,PTHR12848.orig.30.pir,KAI4702600.1,2.8e-8,32.7,2.2,2.8e-8,32.7,2.2,KAI4713375.1,0,1510.2,1.4,0,1509.7,1.4,TCO and RAPTOR
Alternaria sp. BMP 2799,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,2817041,GCA_023758145.1,PTHR12848.orig.30.pir,KAI4680832.1,2.6e-8,32.8,2.1,2.6e-8,32.8,2.1,KAI4692659.1,0,1453.7,1.1,0,1453.4,1.1,TCO and RAPTOR
Aureobasidium sp. EXF-10727,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,2894284,GCA_023848595.1,PTHR12848.orig.30.pir,KAI4721264.1,2.9e-10,38.9,0,2.9e-10,38.9,0,KAI4722093.1,0,1452.1,0,0,1451.7,0,TCO and RAPTOR
Aureobasidium sp. EXF-10728,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,2894285,GCA_023848605.1,PTHR12848.orig.30.pir,KAI4730488.1,2.9e-10,38.9,11.1,3.1e-10,38.8,0,KAI4724910.1,0,1439.9,0,0,1439.4,0,TCO and RAPTOR
Alternaria rosae,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187941,GCA_024043135.1,PTHR12848.orig.30.pir,KAI4950296.1,1.5e-8,33.6,2.1,1.5e-8,33.6,2.1,KAI4956386.1,0,1510.7,0.8,0,1510.3,0.8,TCO and RAPTOR
Alternaria conjuncta,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,181017,GCA_024043145.1,PTHR12848.orig.30.pir,KAI4911336.1,2.9e-8,32.8,2.1,2.9e-8,32.8,2.1,KAI4936072.1,0,1454.5,1.1,0,1454.2,1.1,TCO and RAPTOR
Alternaria arbusti,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,232088,GCA_024043155.1,PTHR12848.orig.30.pir,KAI4940277.1,2.9e-8,32.8,2.1,2.9e-8,32.8,2.1,KAI4946960.1,0,1510.3,1.4,0,1509.8,1.4,TCO and RAPTOR
Alternaria incomplexa,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187928,GCA_024043165.1,PTHR12848.orig.30.pir,KAI4906182.1,2.6e-8,32.8,2.1,2.6e-8,32.8,2.1,KAI4907942.1,0,1456,1.2,0,1455.7,1.2,TCO and RAPTOR
Alternaria infectoria,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,45303,GCA_024043175.1,PTHR12848.orig.30.pir,KAI4911431.1,2.6e-8,32.8,2.1,2.6e-8,32.8,2.1,KAI4929732.1,0,1507.6,2.4,0,1507.2,2.4,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_024195175.2,PTHR12848.orig.30.pir,KAJ9570560.1,1.3999999999999995e-228,758.7,55.2,1.7999999999999995e-228,758.3,55.2,KAJ9572902.1,0,1350.1,7.2,0,1349.6,7.2,TCO and RAPTOR
Aureobasidium sp. EXF-8845,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,2894279,GCA_024195465.1,PTHR12848.orig.30.pir,KAI4778181.1,2.1e-8,33.6,0,2.1e-8,33.6,0,KAI4834233.1,0,1392.8,0,0,1392.3,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244225.1,PTHR12848.orig.30.pir,KAI5271150.1,3e-11,42.2,6.9,7.8e-11,40.9,0,KAI5276567.1,0,1452,0,0,1451.6,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244235.1,PTHR12848.orig.30.pir,KAI5266615.1,2.8e-11,42.4,7.6,1.4e-10,40.1,0,KAI5254944.1,0,1454.2,0,0,1453.9,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244255.1,PTHR12848.orig.30.pir,KAI5240519.1,1.7e-11,43.1,7.3,4.4e-11,41.7,0,KAI5246527.1,0,1452.7,0,0,1452.3,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244275.1,PTHR12848.orig.30.pir,KAI5246989.1,4.2e-11,41.8,8.2,1.4e-10,40.1,0,KAI5243331.1,0,1449.7,0,0,1449.3,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244305.1,PTHR12848.orig.30.pir,KAI5233386.1,2.8e-11,42.4,7.6,1.4e-10,40.1,0,KAI5217112.1,0,1454.2,0,0,1453.9,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244315.1,PTHR12848.orig.30.pir,KAI5229734.1,2.8e-11,42.4,7.6,1.4e-10,40.1,0,KAI5223374.1,0,1454.2,0,0,1453.9,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244335.1,PTHR12848.orig.30.pir,KAI5210064.1,1.1e-10,40.3,0,1.1e-10,40.3,0,KAI5207115.1,0,1450.2,0,0,1449.8,0,TCO and RAPTOR
Aureobasidium subglaciale,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,1042127,GCA_024244585.1,PTHR12848.orig.30.pir,KAI5211324.1,2.8e-11,42.4,7.6,1.4e-10,40.1,0,KAI5195456.1,0,1454.2,0,0,1453.9,0,TCO and RAPTOR
Alternaria postmessia,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1187938,GCA_024291825.1,PTHR12848.orig.30.pir,KAI5379694.1,4.3e-8,32.2,5.1,4.3e-8,32.2,5.1,KAI5380497.1,0,1512.2,1.1,0,1511.8,1.1,TCO and RAPTOR
Pyronema domesticum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,47205,GCA_024516145.1,PTHR12848.orig.30.pir,KAI5787991.1,1.6e-11,43.5,0.4,5.5e-7,28.5,0,KAI5786219.1,0,1528.3,0,0,1528.1,0,TCO and RAPTOR
Geopyxis carbonaria,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tarzettaceae,Geopyxis,49969,GCA_024516215.1,PTHR12848.orig.30.pir,KAI5778413.1,2.8e-15,55.9,0.1,2.8e-15,55.9,0.1,KAI5779073.1,0,1540.4,0,0,1538.5,0,TCO and RAPTOR
Peziza echinospora,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,61495,GCA_024516245.1,PTHR12848.orig.30.pir,KAI5801483.1,6.5e-11,41.4,0.6,6.5e-11,41.4,0.6,KAI5801373.1,0,1530.5,0,0,1530.1,0,TCO and RAPTOR
Tricharina praecox,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,43433,GCA_024521635.1,PTHR12848.orig.30.pir,KAI5849879.1,6.8e-14,51.1,0.4,1.5e-13,50,0,KAI5845926.1,0,1529.1,0,0,1528.7,0,TCO and RAPTOR
Morchella snyderi,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,1174678,GCA_024521645.1,PTHR12848.orig.30.pir,KAI5852889.1,1.5e-15,56.7,1.5,1.5e-15,56.7,1.5,KAI5847133.1,0,1544.2,0,0,1539.6,0,TCO and RAPTOR
Candida pseudojiufengensis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,497109,GCA_024610245.1,PTHR12848.orig.30.pir,KAI5966522.1,1.4e-10,39.4,53.4,1.3e-6,26.3,1.6,KAI5960411.1,0,1413.4,3.3,0,1412.9,3.3,TCO and RAPTOR
Candida jiufengensis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,497108,GCA_024610255.1,PTHR12848.orig.30.pir,KAI5953565.1,2.3e-12,45.3,32.4,5.8e-9,34,17.2,KAI5953449.1,0,1423.7,1.7,0,1423.2,1.7,TCO and RAPTOR
Candida theae,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,1198502,GCA_024610275.1,PTHR12848.orig.30.pir,KAI5967390.1,3.7e-10,37.9,31.8,4.4e-7,27.7,0.8,KAI5954778.1,0,1413.4,0.3,0,1412.9,0.3,TCO and RAPTOR
Candida margitis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,1775924,GCA_024628925.1,PTHR12848.orig.30.pir,KAI5953102.1,1.6e-12,45.7,28.9,1.7e-8,32.5,21,KAI5969152.1,0,1394.8,1.2,0,1394.3,1.2,TCO and RAPTOR
Erysiphe necator,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,52586,GCA_024703715.1,PTHR12848.orig.30.pir,KAI6249176.1,4.1e-9,34.8,18.5,3.5e-8,31.8,18.4,KAI6247776.1,0,1439,1,0,1438.4,1,TCO and RAPTOR
Gamsiella multidivaricata,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Gamsiella,101098,GCA_025024155.1,PTHR12848.orig.30.pir,KAI7820667.1,7.5e-13,47.9,2.8,7.5e-13,47.9,2.8,KAI7823862.1,0,1494.4,0,0,1494,0,TCO and RAPTOR
Circinella umbellata,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Circinella,101103,GCA_025093555.1,PTHR12848.orig.30.pir,KAI7854560.1,8.2e-8,31.6,13.6,8.2e-8,31.6,13.6,KAI7848885.1,0,1491.8,12.9,0,1491.4,12.9,TCO and RAPTOR
Mucor mucedo,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,29922,GCA_025094135.1,PTHR12848.orig.30.pir,KAI7890626.1,1.4e-9,37.3,0.5,1.7e-9,37,0.5,KAI7888798.1,0,1494.5,12.1,0,1494.2,12.1,TCO and RAPTOR
Spinellus fusiger,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Phycomycetaceae,Spinellus,101115,GCA_025094145.1,PTHR12848.orig.30.pir,KAI7871658.1,3.5e-10,38.9,1.7,3.8e-8,32.2,0,KAI7868605.1,0,1408.4,5.4,0,1408.1,5.4,TCO and RAPTOR
Lichtheimia hyalospora FSU 10163,NA,NA,NA,NA,NA,NA,NA,NA,1314789,GCA_025094155.1,PTHR12848.orig.30.pir,KAI7874170.1,4.7e-11,42,11.4,4.7e-11,42,11.4,KAI7884176.1,0,1485.6,17.7,0,1485.1,17.7,TCO and RAPTOR
Gilbertella persicaria,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Gilbertella,101096,GCA_025201335.1,PTHR12848.orig.30.pir,KAI8091443.1,6.7e-12,44.6,4.6,6.7e-12,44.6,4.6,KAI8062839.1,0,1474.5,14.3,0,1474,14.3,TCO and RAPTOR
Thamnidium elegans,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Thamnidium,101142,GCA_025201345.1,PTHR12848.orig.30.pir,KAI8078399.1,1.9e-14,53.3,4.1,1.9e-14,53.3,4.1,KAI8082288.1,0,1490.4,8.1,0,1490,8.1,TCO and RAPTOR
Halteromyces radiatus,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Halteromyces,101107,GCA_025201355.1,PTHR12848.orig.30.pir,KAI8092494.1,1.5e-8,33.5,1.4,1.5e-8,33.5,1.4,KAI8086100.1,0,1488,12.6,0,1487.6,12.6,TCO and RAPTOR
Gongronella butleri,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Gongronella,101105,GCA_025201375.1,PTHR12848.orig.30.pir,KAI8062717.1,8e-11,41.1,4.4,9.3e-11,40.9,4.4,KAI8064167.1,0,1458.9,17,0,1458.6,17,TCO and RAPTOR
Dissophora ornata,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Dissophora,979620,GCA_025201705.1,PTHR12848.orig.30.pir,KAI8602184.1,1.4e-12,47.1,0.1,1.4e-12,47.1,0.1,KAI8603452.1,0,1474.2,0,0,1473.8,0,TCO and RAPTOR
Xylariaceae sp. FL1651,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,2614592,GCA_025201745.1,PTHR12848.orig.30.pir,KAI8628436.1,1.6e-9,37,1.2,1.6e-9,37,1.2,KAI8632776.1,0,1497.2,0.1,0,1497.2,0.1,TCO and RAPTOR
Xylaria longipes,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,114818,GCA_025201785.1,PTHR12848.orig.30.pir,KAI8949010.1,2.4e-9,36.4,0.5,2.4e-9,36.4,0.5,KAI8950454.1,0,1432.6,0,0,1432.6,0,TCO and RAPTOR
Parasitella parasitica,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Parasitella,35722,GCA_025201805.1,PTHR12848.orig.30.pir,KAI8645293.1,3.1e-8,32.7,0.7,3.1e-8,32.7,0.7,KAI8646796.1,0,1483.9,11.8,0,1483.5,11.8,TCO and RAPTOR
Geotrichum candidum,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,1173061,GCA_025234805.1,PTHR12848.orig.30.pir,KAI8133477.1,2.7e-12,44.9,6.2,2.7e-12,44.9,6.2,KAI8135030.1,0,1046.9,0.4,0,1046.6,0.4,TCO and RAPTOR
Fennellomyces sp. T-0311,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Fennellomyces,1329386,GCA_025266875.1,PTHR12848.orig.30.pir,KAI8145741.1,2.5e-13,49.7,5.9,2.5e-13,49.7,5.9,KAI8137388.1,0,1489.3,4.3,0,1488.9,4.3,TCO and RAPTOR
Chlamydoabsidia padenii,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Chlamydoabsidia,90267,GCA_025330725.1,PTHR12848.orig.30.pir,KAI8333084.1,6.1e-9,35.2,1.3,7e-9,35,1.3,KAI8333711.1,0,1466.7,14.4,0,1466.4,14.4,TCO and RAPTOR
Mortierella sp. GBAus27b,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,1954212,GCA_025330735.1,PTHR12848.orig.30.pir,KAI8354806.1,6.8e-15,54.9,6.5,1.7e-14,53.6,5.7,KAI8345649.1,0,1471.3,0,0,1470.9,0,TCO and RAPTOR
Radiomyces spectabilis,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Radiomycetaceae,Radiomyces,64574,GCA_025331425.1,PTHR12848.orig.30.pir,KAI8391131.1,2.1e-10,39.7,1.8,2.1e-10,39.7,1.8,KAI8374753.1,0,1481.8,7.7,0,1481.6,7.7,TCO and RAPTOR
Choanephora cucurbitarum,mucoromycotan fungi,Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Choanephora,101091,GCA_025331435.1,PTHR12848.orig.30.pir,KAI8366360.1,3.7e-8,32.4,13.7,6.6e-8,31.6,13.7,KAI8373402.1,0,1327.5,13,0,1327.2,13,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_025331885.1,PTHR12848.orig.30.pir,KAI8389857.1,4.799999999999999e-229,760.3,55.1,6.499999999999999e-229,759.9,55.1,KAI8382211.1,0,1350.2,7.4,0,1349.8,7.4,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_025331905.1,PTHR12848.orig.30.pir,KAI8399763.1,5.2e-231,766.8,54,6.999999999999998e-231,766.4,54,KAI8392437.1,0,1350.2,7.4,0,1349.8,7.4,TCO and RAPTOR
Blastocladiella britannica,blastocladiomycete fungi,Eukaryota,Fungi,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,Blastocladiella,64508,GCA_025349905.2,PTHR12848.orig.30.pir,KAI9222230.1,1.8e-9,36.4,0,2.4e-9,36,0,KAI9223980.1,0,1077.8,0,9.1e-276,917.5,0,TCO and RAPTOR
Backusella circina FSU 941,NA,NA,NA,NA,NA,NA,NA,NA,1314798,GCA_025399235.1,PTHR12848.orig.30.pir,KAI8884231.1,1.6e-13,50.6,1.9,2e-13,50.3,1.9,KAI8890881.1,0,1470,4.3,0,1469.6,4.3,TCO and RAPTOR
Plenodomus lindquistii,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,301713,GCA_025504975.1,PTHR12848.orig.30.pir,KAI8931551.1,2.8e-8,33,3.9,2.8e-8,33,3.9,KAI8937583.1,0,1512.3,0.1,0,1511.9,0.1,TCO and RAPTOR
